crossover_type,population_size,m,k,d,optimum,generations,evaluations,time,best_fitness,is_optimal
Uniform,40,8,5,0.8,8,49,2000,0.13669419288635254,2.6,False
Uniform,40,8,5,0.2,8,16,680,0.0599822998046875,4.4,False
Uniform,40,8,5,0.8,8,35,1440,0.10993409156799316,2.8500000000000005,False
Uniform,60,8,5,0.2,8,465,27960,1.7106044292449951,5.2,False
Uniform,60,8,5,0.8,8,271,16320,0.9788413047790527,2.75,False
Uniform,60,8,5,0.2,8,338,20340,1.3508949279785156,5.2,False
Uniform,60,8,5,0.8,8,33,2040,0.15267419815063477,2.6,False
Uniform,60,8,5,0.2,8,317,19080,1.1207828521728516,4.6000000000000005,False
Uniform,60,8,5,0.8,8,161,9720,0.6141908168792725,3.4999999999999996,False
Uniform,60,8,5,0.2,8,859,51600,3.1163251399993896,5.0,False
Uniform,60,8,5,0.8,8,15,960,0.08068037033081055,2.45,False
Uniform,60,8,5,0.2,8,217,13080,0.8166120052337646,4.800000000000001,False
Uniform,60,8,5,0.8,8,227,13680,0.8605268001556396,2.55,False
Uniform,60,8,5,0.2,8,118,7140,0.4508330821990967,4.800000000000001,False
Uniform,60,8,5,0.8,8,1147,68880,4.2688188552856445,2.5,False
Uniform,60,8,5,0.2,8,12,780,0.06678152084350586,4.6,False
Uniform,60,8,5,0.8,8,163,9840,0.6314997673034668,2.55,False
Uniform,60,8,5,0.2,8,254,15300,1.0374393463134766,4.6000000000000005,False
Uniform,60,8,5,0.8,8,432,25980,1.6820380687713623,3.6,False
Uniform,60,8,5,0.2,8,61,3720,0.24963831901550293,4.6000000000000005,False
Uniform,60,8,5,0.8,8,400,24060,1.579160213470459,2.6500000000000004,False
Uniform,60,8,5,0.2,8,75,4560,0.298903226852417,4.4,False
Uniform,60,8,5,0.8,8,67,4080,0.27455806732177734,2.5500000000000003,False
Uniform,80,8,5,0.2,8,327,26240,1.9847280979156494,4.8,False
Uniform,80,8,5,0.8,8,2319,185600,12.450114011764526,2.75,False
Uniform,80,8,5,0.2,8,2376,190160,15.010204076766968,4.6,False
Uniform,80,8,5,0.8,8,127,10240,0.9789242744445801,3.3499999999999996,False
Uniform,80,8,5,0.2,8,1875,150080,15.002624988555908,4.600000000000001,False
Uniform,80,8,5,0.8,8,1000,80080,5.806580543518066,3.4,False
Uniform,80,8,5,0.2,8,846,67760,5.496919870376587,4.6000000000000005,False
Uniform,80,8,5,0.8,8,1850,148080,15.019233465194702,2.65,False
Uniform,80,8,5,0.2,8,1994,159600,15.003167390823364,4.800000000000001,False
Uniform,80,8,5,0.8,8,1513,121120,8.938019275665283,2.6499999999999995,False
